experiment,scheme,traffic_pattern,run_id,flow_id,received_bytes,start_time_s,completion_time_s,fct_s,completed
v2-main-electrical-only,electrical-only,community-local,1,162,50000,0.082,0.08279608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,163,50000,0.0825,0.08329608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,164,50000,0.083,0.08379608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,165,50000,0.0835,0.08429608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,166,50000,0.084,0.08479608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,167,50000,0.0845,0.08529608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,168,50000,0.085,0.08579608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,169,50000,0.0855,0.08629608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,170,50000,0.086,0.08679608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,171,50000,0.0865,0.08729608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,172,50000,0.087,0.08779608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,173,50000,0.0875,0.08829608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,174,50000,0.088,0.08879608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,175,50000,0.0885,0.08929608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,176,50000,0.089,0.08979608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,177,50000,0.0895,0.09029608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,178,50000,0.09,0.09079608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,179,50000,0.0905,0.09129608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,180,50000,0.091,0.09179608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,181,50000,0.0915,0.09229608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,182,50000,0.092,0.09279608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,183,50000,0.0925,0.09329608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,184,50000,0.093,0.09379608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,185,50000,0.0935,0.09429608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,186,50000,0.094,0.09479608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,187,50000,0.0945,0.09529608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,188,50000,0.095,0.09579608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,189,50000,0.0955,0.09629608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,190,50000,0.096,0.09679608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,191,50000,0.0965,0.09729608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,192,50000,0.097,0.09779608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,193,50000,0.0975,0.09829608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,194,50000,0.098,0.09879608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,195,50000,0.0985,0.09929608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,196,50000,0.099,0.09979608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,197,50000,0.0995,0.10029608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,198,50000,0.1,0.10079608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,199,50000,0.1005,0.10129608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,200,50000,0.101,0.10179608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,201,50000,0.1015,0.10229608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,202,50000,0.102,0.10279608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,203,50000,0.1025,0.10329608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,204,50000,0.103,0.10379608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,205,50000,0.1035,0.10429608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,206,50000,0.104,0.10479608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,207,50000,0.1045,0.10529608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,208,50000,0.105,0.10579608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,209,50000,0.1055,0.10629608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,210,50000,0.106,0.10679608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,211,50000,0.1065,0.10729608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,212,50000,0.107,0.10779608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,213,50000,0.1075,0.10829608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,214,50000,0.108,0.10879608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,215,50000,0.1085,0.10929608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,216,50000,0.109,0.10979608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,217,50000,0.1095,0.11029608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,218,50000,0.11,0.11079608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,219,50000,0.1105,0.11129608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,220,50000,0.111,0.11179608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,221,50000,0.1115,0.11229608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,222,50000,0.112,0.11279608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,223,50000,0.1125,0.11329608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,224,50000,0.113,0.11379608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,225,50000,0.1135,0.11429608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,226,50000,0.114,0.11479608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,227,50000,0.1145,0.11529608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,228,50000,0.115,0.11579608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,229,50000,0.1155,0.11629608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,230,50000,0.116,0.11679608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,231,50000,0.1165,0.11729608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,232,50000,0.117,0.11779608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,233,50000,0.1175,0.11829608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,234,50000,0.118,0.11879608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,235,50000,0.1185,0.11929608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,236,50000,0.119,0.11979608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,237,50000,0.1195,0.12029608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,238,50000,0.12,0.12079608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,239,50000,0.1205,0.12129608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,240,50000,0.121,0.12179608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,241,50000,0.1215,0.12229608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,242,50000,0.122,0.12279608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,243,50000,0.1225,0.12329608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,244,50000,0.123,0.12379608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,245,50000,0.1235,0.12429608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,246,50000,0.124,0.12479608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,247,50000,0.1245,0.12529608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,248,50000,0.125,0.12579608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,249,50000,0.1255,0.12629608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,250,50000,0.126,0.12679608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,251,50000,0.1265,0.12729608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,252,50000,0.127,0.12779608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,253,50000,0.1275,0.12829608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,254,50000,0.128,0.12879608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,255,50000,0.1285,0.12929608,0.00079608,true
