scenario,seed,offered_load_factor,drain_label,candidate_id,selected_edges,edge_count,candidate_count,selected_for_evaluation,selection_reason
cross-community-distractor-replay,1401,0.5,D3,cand0229,3-5;6-7,2,764,false,not-selected
cross-community-distractor-replay,1401,0.5,D3,cand0230,3-6;4-5,2,764,false,not-selected
cross-community-distractor-replay,1401,0.5,D3,cand0231,3-6;4-7,2,764,false,not-selected
cross-community-distractor-replay,1401,0.5,D3,cand0232,3-6;5-7,2,764,false,not-selected
cross-community-distractor-replay,1401,0.5,D3,cand0233,3-7;4-5,2,764,false,not-selected
cross-community-distractor-replay,1401,0.5,D3,cand0234,3-7;4-6,2,764,false,not-selected
cross-community-distractor-replay,1401,0.5,D3,cand0235,3-7;5-6,2,764,false,not-selected
cross-community-distractor-replay,1401,0.5,D3,cand0236,4-5;6-7,2,764,false,high-impact-edge-pool|baseline-plus-high-impact
cross-community-distractor-replay,1401,0.5,D3,cand0237,4-6;5-7,2,764,false,not-selected
cross-community-distractor-replay,1401,0.5,D3,cand0238,4-7;5-6,2,764,false,not-selected
cross-community-distractor-replay,1401,0.5,D3,cand0239,0-1;2-3;4-5,3,764,true,high-impact-edge-pool|baseline-plus-high-impact
cross-community-distractor-replay,1401,0.5,D3,cand0240,0-1;2-3;4-6,3,764,false,not-selected
cross-community-distractor-replay,1401,0.5,D3,cand0241,0-1;2-3;4-7,3,764,false,not-selected
cross-community-distractor-replay,1401,0.5,D3,cand0242,0-1;2-3;5-6,3,764,true,high-impact-edge-pool|baseline-plus-high-impact
cross-community-distractor-replay,1401,0.5,D3,cand0243,0-1;2-3;5-7,3,764,false,not-selected
cross-community-distractor-replay,1401,0.5,D3,cand0244,0-1;2-3;6-7,3,764,true,high-impact-edge-pool|baseline-plus-high-impact
cross-community-distractor-replay,1401,0.5,D3,cand0245,0-1;2-4;3-5,3,764,false,not-selected
cross-community-distractor-replay,1401,0.5,D3,cand0246,0-1;2-4;3-6,3,764,false,not-selected
cross-community-distractor-replay,1401,0.5,D3,cand0247,0-1;2-4;3-7,3,764,false,not-selected
cross-community-distractor-replay,1401,0.5,D3,cand0248,0-1;2-4;5-6,3,764,false,not-selected
cross-community-distractor-replay,1401,0.5,D3,cand0249,0-1;2-4;5-7,3,764,false,not-selected
cross-community-distractor-replay,1401,0.5,D3,cand0250,0-1;2-4;6-7,3,764,false,not-selected
cross-community-distractor-replay,1401,0.5,D3,cand0251,0-1;2-5;3-4,3,764,false,not-selected
cross-community-distractor-replay,1401,0.5,D3,cand0252,0-1;2-5;3-6,3,764,false,not-selected
cross-community-distractor-replay,1401,0.5,D3,cand0253,0-1;2-5;3-7,3,764,false,not-selected
cross-community-distractor-replay,1401,0.5,D3,cand0254,0-1;2-5;4-6,3,764,false,not-selected
cross-community-distractor-replay,1401,0.5,D3,cand0255,0-1;2-5;4-7,3,764,false,not-selected
cross-community-distractor-replay,1401,0.5,D3,cand0256,0-1;2-5;6-7,3,764,false,not-selected
cross-community-distractor-replay,1401,0.5,D3,cand0257,0-1;2-6;3-4,3,764,false,not-selected
cross-community-distractor-replay,1401,0.5,D3,cand0258,0-1;2-6;3-5,3,764,false,not-selected
cross-community-distractor-replay,1401,0.5,D3,cand0259,0-1;2-6;3-7,3,764,false,not-selected
cross-community-distractor-replay,1401,0.5,D3,cand0260,0-1;2-6;4-5,3,764,false,not-selected
cross-community-distractor-replay,1401,0.5,D3,cand0261,0-1;2-6;4-7,3,764,false,not-selected
cross-community-distractor-replay,1401,0.5,D3,cand0262,0-1;2-6;5-7,3,764,false,not-selected
cross-community-distractor-replay,1401,0.5,D3,cand0263,0-1;2-7;3-4,3,764,false,not-selected
cross-community-distractor-replay,1401,0.5,D3,cand0264,0-1;2-7;3-5,3,764,false,not-selected
cross-community-distractor-replay,1401,0.5,D3,cand0265,0-1;2-7;3-6,3,764,false,not-selected
